1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.653537	-0.653537	0.000000	0.000000	0.449114	0.110864	0.000000	0.110864	8	45	5059
1	-0.615140	-0.615140	0.000001	0.000000	0.449114	0.104945	0.000054	0.104941	6	60	66
2	-0.625544	-0.625544	0.000003	0.000000	0.449114	0.105257	0.000085	0.105254	8	44	52
3	-0.596315	-0.596316	0.000005	0.000000	0.449114	0.131869	0.000110	0.131862	5	53	60
4	-0.611957	-0.611959	0.000008	0.000000	0.449114	0.101971	0.000145	0.101967	13	45	59
5	-0.594574	-0.594576	0.000011	0.999994	0.428700	0.104664	0.000167	0.104661	6	55	61
6	-0.602879	-0.602882	0.000012	0.163715	0.445640	0.107624	0.000173	0.107620	8	47	55
7	-0.621770	-0.621772	0.000013	0.000000	0.449114	0.099509	0.000180	0.099502	9	48	58
8	-0.619806	-0.619809	0.000016	0.000000	0.449114	0.105789	0.000195	0.105779	7	42	50
9	-0.623063	-0.623067	0.000019	0.000000	0.449114	0.115329	0.000218	0.115315	7	45	52
10	-0.643277	-0.643282	0.000023	0.000000	0.449114	0.110012	0.000234	0.109990	10	52	62
11	-0.633144	-0.633150	0.000030	0.000000	0.449114	0.070681	0.000264	0.070669	8	42	50
12	-0.619302	-0.619309	0.000032	0.999686	0.428706	0.118673	0.000274	0.118651	9	44	55
13	-0.611516	-0.611524	0.000039	0.165418	0.445604	0.108149	0.000304	0.108125	6	43	50
14	-0.638382	-0.638391	0.000047	0.000000	0.449114	0.088530	0.000339	0.088499	9	43	53
15	-0.645643	-0.645654	0.000054	0.000000	0.449114	0.091347	0.000363	0.091314	6	43	50
16	-0.662487	-0.662500	0.000062	0.000000	0.449114	0.127085	0.000395	0.127058	6	46	53
17	-0.620295	-0.620309	0.000070	0.000000	0.449114	0.092068	0.000416	0.092042	7	43	50
18	-0.627903	-0.627918	0.000075	1.000000	0.428700	0.100626	0.000421	0.100612	6	52	59
19	-0.650852	-0.650867	0.000079	1.740564	0.414739	0.099956	0.000438	0.099930	10	46	56
20	-0.668136	-0.668152	0.000082	2.720310	0.397609	0.088181	0.000434	0.088152	6	55	61
21	-0.662562	-0.662581	0.000093	1.879489	0.412221	0.129896	0.000478	0.129848	7	45	54
22	-0.634998	-0.635019	0.000106	1.038668	0.427948	0.094348	0.000502	0.094296	11	48	61
23	-0.628982	-0.629005	0.000113	0.197847	0.444923	0.107704	0.000513	0.107671	8	43	51
24	-0.624574	-0.624598	0.000122	0.000000	0.449114	0.095618	0.000534	0.095594	12	45	57
25	-0.607713	-0.607739	0.000129	0.000000	0.449114	0.093951	0.000550	0.093892	6	42	49
26	-0.619843	-0.619872	0.000145	0.000000	0.449114	0.091884	0.000590	0.091831	15	45	60
27	-0.661752	-0.661784	0.000161	0.000000	0.449114	0.087576	0.000631	0.087549	6	46	53
28	-0.654139	-0.654171	0.000159	0.000000	0.449114	0.086554	0.000611	0.086529	8	47	57
29	-0.649197	-0.649230	0.000163	0.000000	0.449114	0.093277	0.000614	0.093228	10	43	53
30	-0.674347	-0.674383	0.000180	0.000000	0.449114	0.103848	0.000657	0.103845	11	45	57
31	-0.645179	-0.645214	0.000176	0.000000	0.449114	0.121359	0.000635	0.121300	6	49	55
32	-0.628940	-0.628979	0.000198	1.000000	0.428700	0.107385	0.000681	0.107372	8	43	51
33	-0.651959	-0.652000	0.000204	2.000000	0.410061	0.124982	0.000703	0.124954	8	53	62
34	-0.663247	-0.663288	0.000207	1.159179	0.425621	0.113341	0.000700	0.113333	8	45	53
35	-0.619457	-0.619499	0.000207	2.159179	0.407242	0.084447	0.000699	0.084399	7	47	56
36	-0.665625	-0.665669	0.000222	1.318358	0.422585	0.109854	0.000731	0.109867	9	44	53
37	-0.636274	-0.636316	0.000210	2.317485	0.404478	0.089534	0.000691	0.089467	6	50	58
38	-0.643595	-0.643643	0.000242	1.503326	0.419111	0.098332	0.000776	0.098264	7	44	51
39	-0.636324	-0.636373	0.000244	0.662505	0.435379	0.102226	0.000758	0.102187	6	47	54
40	-0.657695	-0.657746	0.000252	0.000000	0.449114	0.095178	0.000765	0.095153	6	44	51
41	-0.648410	-0.648461	0.000259	0.000000	0.449114	0.111204	0.000776	0.111201	6	48	56
42	-0.631914	-0.631965	0.000259	0.000000	0.449114	0.099033	0.000775	0.098969	9	41	52
43	-0.644708	-0.644764	0.000280	0.998949	0.428721	0.111316	0.000817	0.111293	7	48	56
44	-0.640405	-0.640464	0.000298	0.158128	0.445758	0.104887	0.000857	0.104791	7	43	50
45	-0.667070	-0.667131	0.000305	1.155787	0.425686	0.088532	0.000851	0.088511	6	46	54
46	-0.679549	-0.679612	0.000315	0.314966	0.442478	0.112183	0.000881	0.112131	6	43	50
47	-0.685696	-0.685762	0.000327	1.314966	0.422649	0.089218	0.000884	0.089205	8	43	52
48	-0.617952	-0.618018	0.000330	2.289834	0.404958	0.117663	0.000892	0.117588	8	44	53
49	-0.657825	-0.657898	0.000363	3.042708	0.392277	0.111606	0.000951	0.111556	7	43	50
50	-0.646147	-0.646220	0.000367	2.557384	0.400359	0.121454	0.000948	0.121405	9	45	55
51	-0.628242	-0.628316	0.000370	1.716563	0.415177	0.095944	0.000943	0.095909	6	45	53
52	-0.698183	-0.698262	0.000396	2.454387	0.402117	0.120122	0.001001	0.120107	9	50	61
53	-0.659142	-0.659220	0.000392	1.613646	0.417067	0.116484	0.000984	0.116446	7	47	54
54	-0.652441	-0.652522	0.000403	2.613646	0.399405	0.110431	0.000998	0.110408	7	48	55
55	-0.648483	-0.648564	0.000402	1.772825	0.414152	0.116573	0.000991	0.116522	7	46	55
56	-0.644505	-0.644585	0.000401	0.932005	0.430029	0.083132	0.000971	0.083069	8	47	57
57	-0.640313	-0.640398	0.000423	0.091197	0.447172	0.136014	0.001016	0.135939	6	44	51
58	-0.681393	-0.681482	0.000441	0.677246	0.435083	0.091441	0.001026	0.091393	8	44	54
59	-0.663398	-0.663492	0.000468	0.121962	0.446521	0.138178	0.001088	0.138184	6	43	50
60	-0.670689	-0.670783	0.000470	0.000000	0.449114	0.116096	0.001086	0.116092	7	50	57
61	-0.681242	-0.681335	0.000466	1.000000	0.428700	0.097362	0.001076	0.097299	7	42	50
62	-0.679938	-0.680036	0.000488	2.000000	0.410061	0.088449	0.001109	0.088453	9	44	54
63	-0.623007	-0.623102	0.000478	2.217025	0.406228	0.081682	0.001086	0.081642	8	41	51
64	-0.645869	-0.645965	0.000479	3.216583	0.389460	0.092901	0.001084	0.092840	6	61	67
65	-0.643468	-0.643566	0.000487	2.589439	0.399815	0.102662	0.001082	0.102645	7	58	68
66	-0.656896	-0.656995	0.000492	1.748618	0.414592	0.122864	0.001091	0.122785	9	43	52
67	-0.668193	-0.668298	0.000526	0.907797	0.430504	0.099608	0.001143	0.099572	8	48	58
68	-0.644158	-0.644265	0.000538	0.066976	0.447687	0.111553	0.001159	0.111533	6	46	53
69	-0.619372	-0.619476	0.000516	0.000000	0.449114	0.094236	0.001100	0.094136	7	50	57
70	-0.682260	-0.682368	0.000540	0.999635	0.428707	0.095307	0.001134	0.095209	8	44	54
71	-0.628877	-0.628990	0.000567	0.158814	0.445743	0.076589	0.001161	0.076541	6	47	54
72	-0.666442	-0.666559	0.000585	1.157218	0.425658	0.096578	0.001193	0.096537	6	44	52
73	-0.679585	-0.679703	0.000589	0.317520	0.442425	0.096549	0.001192	0.096463	6	50	57
74	-0.648211	-0.648331	0.000600	0.000000	0.449114	0.107797	0.001199	0.107748	9	45	54
75	-0.681527	-0.681653	0.000628	0.000000	0.449114	0.101050	0.001237	0.100998	8	49	58
76	-0.656375	-0.656502	0.000633	0.000000	0.449114	0.126811	0.001249	0.126777	6	45	53
77	-0.669733	-0.669863	0.000649	0.000000	0.449114	0.086226	0.001266	0.086133	5	47	54
78	-0.652399	-0.652528	0.000644	0.999871	0.428703	0.081131	0.001229	0.081082	7	43	51
79	-0.690618	-0.690753	0.000676	0.159572	0.445727	0.122900	0.001289	0.122796	6	50	58
80	-0.651314	-0.651454	0.000699	1.145582	0.425882	0.086557	0.001299	0.086463	8	42	50
81	-0.672483	-0.672630	0.000732	0.304795	0.442689	0.105049	0.001357	0.105007	5	48	53
82	-0.685455	-0.685609	0.000770	0.000000	0.449114	0.098103	0.001410	0.098009	9	42	51
83	-0.662293	-0.662447	0.000774	1.000000	0.428700	0.087662	0.001400	0.087667	10	48	59
84	-0.679257	-0.679401	0.000721	1.594242	0.417425	0.102032	0.001304	0.101942	6	43	51
85	-0.652301	-0.652456	0.000777	1.296019	0.423008	0.100875	0.001382	0.100808	6	46	53
86	-0.640610	-0.640768	0.000789	1.343610	0.422107	0.096616	0.001397	0.096524	6	42	49
87	-0.655340	-0.655500	0.000799	2.343610	0.404025	0.076772	0.001396	0.076741	6	44	51
88	-0.703786	-0.703943	0.000782	3.338843	0.387504	0.110261	0.001365	0.110164	7	44	53
89	-0.684366	-0.684532	0.000828	2.498022	0.401370	0.112795	0.001420	0.112718	8	43	52
90	-0.675851	-0.676026	0.000873	1.657201	0.416265	0.114314	0.001494	0.114290	6	43	51
91	-0.674720	-0.674891	0.000857	0.816380	0.432308	0.075556	0.001448	0.075453	5	42	47
92	-0.665081	-0.665254	0.000868	0.000000	0.449114	0.111357	0.001450	0.111301	6	52	59
93	-0.676869	-0.677050	0.000904	0.000000	0.449114	0.083861	0.001504	0.083781	6	43	50
94	-0.675686	-0.675865	0.000893	0.000000	0.449114	0.102570	0.001474	0.102499	15	45	60
95	-0.652686	-0.652868	0.000915	0.000000	0.449114	0.124378	0.001486	0.124281	6	43	50
96	-0.673168	-0.673362	0.000972	0.000000	0.449114	0.123857	0.001559	0.123808	9	52	62
97	-0.665918	-0.666113	0.000972	0.000000	0.449114	0.101648	0.001544	0.101599	8	48	58
98	-0.646769	-0.646963	0.000967	0.999990	0.428700	0.088133	0.001534	0.088008	9	44	54
99	-0.656360	-0.656561	0.001003	0.159169	0.445736	0.107631	0.001570	0.107577	6	43	51
100	-0.685646	-0.685848	0.001011	0.000000	0.449114	0.113676	0.001561	0.113696	9	47	58
101	-0.675145	-0.675347	0.001011	0.999633	0.428707	0.103458	0.001565	0.103371	5	45	52
102	-0.668447	-0.668648	0.001006	1.999632	0.410067	0.092546	0.001550	0.092579	10	46	57
103	-0.683914	-0.684119	0.001025	2.999632	0.392981	0.122952	0.001586	0.122834	7	44	52
104	-0.645754	-0.645961	0.001036	2.450407	0.402185	0.103341	0.001572	0.103213	12	46	59
105	-0.676480	-0.676695	0.001077	1.609587	0.417142	0.093109	0.001614	0.093052	7	53	62
106	-0.674574	-0.674785	0.001057	0.917420	0.430315	0.087137	0.001571	0.086958	6	46	53
107	-0.684502	-0.684717	0.001074	0.103697	0.446908	0.094680	0.001571	0.094631	6	51	58
108	-0.704923	-0.705150	0.001135	0.000000	0.449114	0.091913	0.001663	0.091897	8	46	54
109	-0.685881	-0.686113	0.001158	0.988421	0.428926	0.088147	0.001689	0.088090	5	51	57
110	-0.685961	-0.686190	0.001142	0.147601	0.445980	0.093649	0.001659	0.093574	7	43	51
111	-0.688447	-0.688690	0.001218	0.000000	0.449114	0.098870	0.001767	0.098799	8	48	57
112	-0.624501	-0.624738	0.001184	0.000000	0.449114	0.099046	0.001699	0.099050	9	43	52
113	-0.641431	-0.641663	0.001160	0.000000	0.449114	0.096810	0.001656	0.096681	5	50	57
114	-0.658830	-0.659076	0.001226	0.000000	0.449114	0.095445	0.001730	0.095308	6	44	51
115	-0.687775	-0.688020	0.001227	0.975138	0.429185	0.126663	0.001712	0.126630	6	52	59
116	-0.671137	-0.671394	0.001286	1.975138	0.410505	0.090898	0.001798	0.090752	8	42	54
117	-0.681301	-0.681554	0.001262	2.975138	0.393383	0.117558	0.001752	0.117552	7	52	59
118	-0.671947	-0.672204	0.001284	2.348163	0.403946	0.104632	0.001776	0.104608	6	43	49
119	-0.653771	-0.654020	0.001247	3.348159	0.387356	0.092927	0.001713	0.092817	6	54	61
120	-0.683860	-0.684125	0.001328	2.507338	0.401211	0.086772	0.001814	0.086692	7	42	50
121	-0.666370	-0.666633	0.001315	1.666517	0.416094	0.079058	0.001787	0.078966	8	55	64
122	-0.684167	-0.684435	0.001339	0.825696	0.432124	0.102663	0.001810	0.102718	6	54	60
123	-0.681831	-0.682089	0.001294	0.000000	0.449114	0.136006	0.001760	0.135938	6	54	61
124	-0.642576	-0.642845	0.001345	0.000000	0.449114	0.074441	0.001809	0.074386	5	51	58
125	-0.643529	-0.643802	0.001363	0.000000	0.449114	0.105304	0.001826	0.105248	13	45	58
126	-0.668926	-0.669194	0.001343	0.000000	0.449114	0.126469	0.001793	0.126337	6	46	53
127	-0.661463	-0.661737	0.001372	0.000000	0.449114	0.107134	0.001804	0.107138	10	42	54
128	-0.674509	-0.674794	0.001428	1.000000	0.428700	0.131195	0.001880	0.131032	7	41	48
129	-0.681215	-0.681510	0.001476	0.159179	0.445736	0.114641	0.001923	0.114539	9	43	52
130	-0.699518	-0.699816	0.001488	0.000000	0.449114	0.096086	0.001922	0.096025	6	42	48
131	-0.680085	-0.680392	0.001537	1.000000	0.428700	0.115502	0.001973	0.115415	9	43	52
132	-0.691704	-0.692014	0.001550	0.159300	0.445733	0.109660	0.001976	0.109610	6	42	49
133	-0.684509	-0.684815	0.001530	1.158993	0.425624	0.106099	0.001948	0.105948	7	45	53
134	-0.650327	-0.650628	0.001502	2.158993	0.407246	0.108788	0.001892	0.108788	8	42	50
135	-0.680584	-0.680897	0.001564	1.318475	0.422583	0.092155	0.001968	0.091995	6	51	58
136	-0.634571	-0.634893	0.001610	2.318468	0.404461	0.112273	0.002000	0.112231	8	45	54
137	-0.707283	-0.707609	0.001631	3.318468	0.387829	0.088798	0.002033	0.088724	6	53	61
138	-0.675955	-0.676279	0.001617	3.315240	0.387880	0.113579	0.002007	0.113477	7	46	53
139	-0.655902	-0.656231	0.001644	2.474419	0.401774	0.109089	0.002015	0.108959	10	48	58
140	-0.716382	-0.716717	0.001675	1.633598	0.416699	0.094732	0.002039	0.094573	6	46	53
141	-0.697759	-0.698084	0.001626	0.792777	0.432776	0.121641	0.001960	0.121498	8	48	56
142	-0.681793	-0.682149	0.001782	0.000000	0.449114	0.100807	0.002122	0.100709	8	48	57
143	-0.701414	-0.701760	0.001726	0.000000	0.449114	0.099635	0.002037	0.099574	9	45	56
144	-0.673120	-0.673472	0.001759	0.000000	0.449114	0.100691	0.002066	0.100541	7	44	52
145	-0.704784	-0.705148	0.001821	0.000000	0.449114	0.153589	0.002120	0.153582	8	45	54
146	-0.661892	-0.662245	0.001763	1.000000	0.428700	0.082169	0.002056	0.082065	6	41	48
147	-0.711347	-0.711717	0.001849	1.959307	0.410788	0.127452	0.002139	0.127293	7	50	57
148	-0.686065	-0.686444	0.001895	1.118487	0.426404	0.095301	0.002167	0.095154	10	41	52
149	-0.692686	-0.693079	0.001967	0.277666	0.443254	0.120801	0.002242	0.120619	8	45	54
150	-0.692267	-0.692676	0.002049	0.000000	0.449114	0.099113	0.002303	0.099005	7	41	49
151	-0.680000	-0.680399	0.001991	0.999994	0.428700	0.136122	0.002224	0.136125	7	52	60
152	-0.685006	-0.685396	0.001948	0.159173	0.445736	0.095167	0.002174	0.095029	5	45	50
