1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
110	-0.774759	0.000000	0.008955	0.366240	3
111	-0.792694	0.000000	0.008955	0.189330	4
112	-0.790203	0.000000	0.008955	0.288156	2
113	-0.782351	0.000000	0.008955	0.386542	3
114	-0.796891	0.000000	0.008955	0.321126	3
115	-0.796718	0.000000	0.008955	0.375313	4
116	-0.757343	0.000000	0.008955	0.238392	3
117	-0.752296	0.000000	0.008955	0.171784	2
118	-0.760128	0.000000	0.008955	0.334557	3
119	-0.790966	0.000000	0.008955	0.258363	3
120	-0.798508	0.000000	0.008955	0.334350	5
121	-0.780464	0.000000	0.008955	0.353059	3
122	-0.802693	0.000000	0.008955	0.310965	4
123	-0.793516	0.000000	0.008955	0.221470	2
124	-0.768825	0.000000	0.008955	0.232069	3
125	-0.772435	0.000000	0.008955	0.315472	4
126	-0.775380	0.000000	0.008955	0.159351	3
127	-0.788300	0.000000	0.008955	0.194489	3
128	-0.789035	0.000000	0.008955	0.329478	4
129	-0.774377	0.000000	0.008955	0.363922	6
130	-0.784197	0.000000	0.008955	0.306498	6
131	-0.785697	0.000000	0.008955	0.325682	2
132	-0.803965	0.000000	0.008955	0.262445	4
133	-0.805220	0.000000	0.008955	0.524265	3
134	-0.763646	0.000000	0.008955	0.384179	4
135	-0.803885	0.000000	0.008955	0.299691	2
136	-0.785454	0.000000	0.008955	0.330358	4
137	-0.787984	0.000000	0.008955	0.277269	4
138	-0.776545	0.000000	0.008955	0.297500	3
139	-0.799762	0.000000	0.008955	0.298159	6
140	-0.812812	0.000000	0.008955	0.184107	3
141	-0.794196	0.000000	0.008955	0.289379	1
142	-0.782959	0.000000	0.008955	0.368129	3
143	-0.793108	0.000000	0.008955	0.324402	4
144	-0.809235	0.000000	0.008955	0.242209	4
145	-0.794495	0.000000	0.008955	0.310103	3
146	-0.782933	0.000000	0.008955	0.224443	5
147	-0.787634	0.000000	0.008955	0.343223	3
148	-0.799884	0.000000	0.008955	0.170135	6
149	-0.799830	0.000000	0.008955	0.315122	2
150	-0.802762	0.000000	0.008955	0.269662	3
151	-0.794419	0.000000	0.008955	0.303244	3
152	-0.801428	0.000000	0.008955	0.226000	3
153	-0.814132	0.000000	0.008955	0.297228	4
154	-0.780290	0.000000	0.008955	0.269018	3
155	-0.810098	0.000000	0.008955	0.320097	4
156	-0.811217	0.000000	0.008955	0.259779	2
157	-0.823391	0.000000	0.008955	0.294212	4
158	-0.831425	0.000000	0.008955	0.259689	3
159	-0.783294	0.000000	0.008955	0.372287	3
160	-0.767177	0.000000	0.008955	0.355887	3
161	-0.796956	0.000000	0.008955	0.313557	4
162	-0.785577	0.000000	0.008955	0.248946	8
163	-0.762900	0.000000	0.008955	0.361569	2
164	-0.789619	0.000000	0.008955	0.255236	3
165	-0.818384	0.000000	0.008955	0.210028	4
166	-0.795471	0.000000	0.008955	0.251549	3
167	-0.774555	0.000000	0.008955	0.386697	4
168	-0.794986	0.000000	0.008955	0.329016	4
169	-0.806713	0.000000	0.008955	0.249759	1
170	-0.811368	0.000000	0.008955	0.260456	3
171	-0.810150	0.000000	0.008955	0.295057	4
172	-0.810694	0.000000	0.008955	0.258403	5
173	-0.813885	0.000000	0.008955	0.267363	4
174	-0.841597	0.000000	0.008955	0.161985	2
175	-0.817935	0.000000	0.008955	0.312454	6
176	-0.806817	0.999994	0.008548	0.431856	3
177	-0.823025	0.626050	0.008696	0.175963	4
178	-0.829471	0.252105	0.008849	0.338983	2
179	-0.824907	0.000000	0.008955	0.297210	4
180	-0.783130	0.000000	0.008955	0.460800	2
181	-0.804954	0.000000	0.008955	0.144195	3
182	-0.825725	0.000000	0.008955	0.326051	4
183	-0.835305	0.000000	0.008955	0.189186	3
184	-0.809694	0.000000	0.008955	0.251893	3
185	-0.812947	0.000000	0.008955	0.316674	4
186	-0.824806	0.000000	0.008955	0.262991	3
187	-0.814431	0.000000	0.008955	0.307156	4
188	-0.823226	0.000000	0.008955	0.235425	3
189	-0.820553	0.000000	0.008955	0.249250	3
190	-0.828286	0.000000	0.008955	0.255543	3
191	-0.825460	0.000000	0.008955	0.202408	6
192	-0.786910	0.000000	0.008955	0.387311	6
193	-0.809743	0.000000	0.008955	0.255522	3
194	-0.794889	0.999997	0.008548	0.304319	3
195	-0.817953	1.999997	0.008176	0.281695	2
196	-0.836479	1.626053	0.008311	0.284643	5
197	-0.801749	1.252108	0.008451	0.189873	4
198	-0.820632	0.878164	0.008596	0.347982	3
199	-0.821098	0.504219	0.008745	0.293862	3
200	-0.814063	0.130275	0.008900	0.273459	4
201	-0.814546	0.000000	0.008955	0.269682	5
202	-0.802378	0.000000	0.008955	0.271490	5
203	-0.814037	0.000000	0.008955	0.278305	4
204	-0.812502	0.000000	0.008955	0.400132	4
205	-0.815894	0.000000	0.008955	0.233374	4
206	-0.826271	0.000000	0.008955	0.347518	5
207	-0.825036	0.000000	0.008955	0.227754	2
208	-0.833309	0.000000	0.008955	0.182845	3
209	-0.813212	0.000000	0.008955	0.241910	4
210	-0.816222	0.000000	0.008955	0.298006	3
211	-0.808750	0.000000	0.008955	0.491705	4
212	-0.828218	0.000000	0.008955	0.228138	2
213	-0.814235	0.000000	0.008955	0.323921	5
214	-0.824084	0.000000	0.008955	0.312428	4
215	-0.804710	0.000000	0.008955	0.259551	2
216	-0.835730	0.000000	0.008955	0.270440	3
217	-0.819206	0.000000	0.008955	0.175219	4
218	-0.816086	0.000000	0.008955	0.204778	2
219	-0.838891	0.000000	0.008955	0.306862	2
220	-0.836719	0.000000	0.008955	0.363126	6
221	-0.845547	0.000000	0.008955	0.232915	2
222	-0.807762	0.000000	0.008955	0.255822	6
223	-0.826092	0.000000	0.008955	0.210188	7
224	-0.815102	0.000000	0.008955	0.279533	4
225	-0.837778	0.000000	0.008955	0.303551	1
226	-0.827420	0.000000	0.008955	0.281411	4
227	-0.835514	0.000000	0.008955	0.249239	3
228	-0.859196	0.000000	0.008955	0.315372	4
229	-0.843644	0.000000	0.008955	0.269889	5
230	-0.805622	0.000000	0.008955	0.273342	2
231	-0.835317	0.000000	0.008955	0.263021	5
232	-0.810512	0.000000	0.008955	0.319721	4
233	-0.814785	0.000000	0.008955	0.333328	2
234	-0.810860	0.000000	0.008955	0.305567	3
235	-0.841185	0.000000	0.008955	0.299372	3
236	-0.840192	0.000000	0.008955	0.230834	4
237	-0.824910	0.000000	0.008955	0.189667	2
238	-0.814237	0.000000	0.008955	0.275061	3
239	-0.859609	0.000000	0.008955	0.248040	3
240	-0.827680	0.000000	0.008955	0.316642	3
241	-0.811745	0.000000	0.008955	0.289903	4
242	-0.824932	0.000000	0.008955	0.220772	3
243	-0.829987	0.000000	0.008955	0.394349	5
244	-0.839476	0.000000	0.008955	0.288078	3
245	-0.818212	0.000000	0.008955	0.203547	6
246	-0.839819	0.000000	0.008955	0.302459	3
247	-0.852103	0.000000	0.008955	0.219563	2
248	-0.837585	0.000000	0.008955	0.250290	3
249	-0.839332	0.000000	0.008955	0.300784	2
250	-0.836394	0.000000	0.008955	0.165592	3
251	-0.840995	0.351961	0.008807	0.267565	6
252	-0.820356	0.000000	0.008955	0.228497	7
253	-0.832503	0.000000	0.008955	0.274864	5
254	-0.825708	1.000000	0.008548	0.230670	4
255	-0.842431	0.626056	0.008696	0.186527	2
256	-0.819678	0.252111	0.008849	0.201213	5
257	-0.845950	0.000000	0.008955	0.279304	3
258	-0.853519	0.000000	0.008955	0.180618	3
259	-0.831566	0.000000	0.008955	0.347054	3
260	-0.851100	0.000000	0.008955	0.171091	6
261	-0.842108	0.000000	0.008955	0.230522	5
262	-0.835724	0.000000	0.008955	0.221778	3
263	-0.838283	0.000000	0.008955	0.282535	4
264	-0.827991	0.000000	0.008955	0.282690	4
265	-0.852687	0.000000	0.008955	0.171183	3
266	-0.843184	0.984212	0.008554	0.186110	2
267	-0.830158	0.926007	0.008577	0.216961	2
268	-0.834902	0.552062	0.008726	0.455965	3
269	-0.827818	0.178118	0.008880	0.239426	6
270	-0.833515	0.000000	0.008955	0.247999	4
271	-0.850931	0.000000	0.008955	0.141306	3
272	-0.837631	0.000000	0.008955	0.254119	4
273	-0.822436	0.598387	0.008707	0.251441	3
274	-0.836119	0.224443	0.008860	0.271537	1
275	-0.830458	0.000000	0.008955	0.266540	5
276	-0.841611	0.000000	0.008955	0.225301	4
277	-0.854570	0.000000	0.008955	0.268532	5
278	-0.824263	0.000000	0.008955	0.302069	5
279	-0.849529	0.000000	0.008955	0.204978	4
280	-0.853303	0.000000	0.008955	0.216989	2
281	-0.832567	0.000000	0.008955	0.271897	4
282	-0.824600	0.000000	0.008955	0.249940	4
283	-0.857225	0.000000	0.008955	0.231883	5
284	-0.826585	0.000000	0.008955	0.274536	4
285	-0.857449	1.000000	0.008548	0.316877	4
286	-0.843375	0.626055	0.008696	0.271910	3
287	-0.827558	0.252111	0.008849	0.267954	3
288	-0.831932	0.000000	0.008955	0.266468	2
289	-0.843558	0.000000	0.008955	0.369515	3
290	-0.849952	0.000000	0.008955	0.261734	7
291	-0.866196	0.000000	0.008955	0.211978	3
292	-0.850535	0.000000	0.008955	0.260450	2
293	-0.842041	0.000000	0.008955	0.169651	5
294	-0.846684	0.000000	0.008955	0.188288	3
295	-0.847577	0.000000	0.008955	0.260612	4
296	-0.843133	0.000000	0.008955	0.206474	4
297	-0.860732	0.000000	0.008955	0.158647	1
298	-0.849501	0.855013	0.008605	0.201290	3
299	-0.827520	0.481069	0.008755	0.325624	5
300	-0.835939	1.040423	0.008532	0.282126	6
301	-0.859886	0.666479	0.008680	0.228038	5
302	-0.853443	0.292534	0.008832	0.212019	3
303	-0.855634	0.000000	0.008955	0.128239	3
304	-0.865084	0.000000	0.008955	0.247673	4
305	-0.821868	0.000000	0.008955	0.221977	4
306	-0.876013	0.000000	0.008955	0.231343	4
307	-0.848016	0.000000	0.008955	0.276851	5
308	-0.852191	0.000000	0.008955	0.241343	4
309	-0.860487	0.000000	0.008955	0.312943	2
310	-0.852380	0.000000	0.008955	0.167024	3
311	-0.820674	0.000000	0.008955	0.282175	4
312	-0.822288	0.980505	0.008556	0.269638	3
313	-0.847086	0.606561	0.008704	0.115600	5
314	-0.834163	0.232635	0.008857	0.213570	4
315	-0.853382	0.000000	0.008955	0.142164	2
316	-0.853674	0.000000	0.008955	0.259830	4
317	-0.853345	0.000000	0.008955	0.185253	4
318	-0.845813	0.000000	0.008955	0.146308	2
319	-0.839749	0.417286	0.008781	0.204125	3
320	-0.865727	0.043409	0.008937	0.143083	3
321	-0.841908	0.000000	0.008955	0.225758	3
322	-0.871794	0.959341	0.008564	0.162644	4
323	-0.842628	0.585418	0.008712	0.135507	3
324	-0.841166	0.221958	0.008861	0.212292	2
325	-0.848826	0.000000	0.008955	0.227177	2
326	-0.815128	0.000000	0.008955	0.318719	4
327	-0.870290	0.000000	0.008955	0.266200	4
328	-0.829693	0.000000	0.008955	0.149292	4
329	-0.834150	0.997960	0.008549	0.258493	3
330	-0.850432	1.993899	0.008179	0.161218	3
331	-0.858270	1.619955	0.008314	0.165738	2
332	-0.865067	1.246960	0.008453	0.284562	3
333	-0.862613	0.875264	0.008597	0.215237	2
334	-0.834898	0.550425	0.008726	0.145855	4
335	-0.852029	1.531298	0.008346	0.195900	1
336	-0.827893	2.531297	0.007992	0.254711	3
337	-0.843155	3.523262	0.007668	0.191885	4
338	-0.861234	3.149318	0.007787	0.190383	2
339	-0.835579	3.970390	0.007531	0.216449	8
340	-0.842670	3.596448	0.007646	0.232190	5
341	-0.841496	3.222504	0.007764	0.214863	4
342	-0.856456	4.222504	0.007456	0.269856	4
343	-0.839790	5.203568	0.007177	0.242941	4
344	-0.858154	4.830218	0.007280	0.318083	3
