1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.723378	-0.735817	0.062193	0.000000	2.126876	0.160823	0.065622	0.160948	11	71	112847
1	-0.719430	-0.732093	0.063316	0.000000	2.126876	0.147977	0.067552	0.148090	31	123	158
2	-0.762460	-0.775379	0.064594	0.000000	2.126876	0.159932	0.068026	0.159831	35	115	154
3	-0.703877	-0.716389	0.062560	0.999823	2.030216	0.157057	0.065762	0.157607	17	45	66
4	-0.702749	-0.715653	0.064524	1.996644	1.942214	0.156232	0.067375	0.156100	7	50	61
5	-0.729832	-0.743017	0.065922	1.021905	2.028181	0.180932	0.066822	0.180856	7	44	55
6	-0.755997	-0.769383	0.066933	2.008128	1.941245	0.167377	0.068675	0.167253	7	55	66
7	-0.714667	-0.727172	0.062526	3.008128	1.860387	0.178424	0.065916	0.178384	8	43	55
8	-0.744693	-0.758090	0.066984	4.008128	1.785995	0.195402	0.067960	0.195446	7	54	65
9	-0.751539	-0.765905	0.071828	3.033388	1.858431	0.169755	0.072497	0.169995	8	45	57
10	-0.767788	-0.781489	0.068503	4.033361	1.784195	0.187097	0.070644	0.187329	8	53	65
11	-0.745969	-0.759482	0.067566	5.033361	1.715660	0.207492	0.069233	0.207530	8	47	59
12	-0.725288	-0.739085	0.068987	4.058621	1.782397	0.193062	0.069407	0.193100	11	93	108
13	-0.744696	-0.759189	0.072464	5.058621	1.713997	0.149303	0.071535	0.149454	37	120	161
14	-0.772449	-0.785959	0.067552	6.058621	1.650653	0.174846	0.069054	0.175402	14	97	135
15	-0.732413	-0.746372	0.069796	5.083881	1.712337	0.142567	0.070731	0.143120	8	62	74
16	-0.737268	-0.751498	0.071150	4.804251	1.730893	0.175767	0.071304	0.176046	8	118	130
17	-0.766848	-0.780788	0.069701	5.804251	1.666318	0.198370	0.070991	0.198505	62	175	260
18	-0.730263	-0.744318	0.070273	6.804227	1.606389	0.174965	0.070652	0.174744	34	78	117
19	-0.699710	-0.713454	0.068716	6.036182	1.652023	0.140397	0.071122	0.140827	7	47	58
20	-0.762872	-0.777173	0.071507	5.061443	1.713812	0.145039	0.072170	0.145116	7	46	58
21	-0.743271	-0.757382	0.070556	4.086703	1.780401	0.188846	0.072363	0.189223	8	45	58
22	-0.733520	-0.748218	0.073491	3.141572	1.850103	0.166777	0.072196	0.166873	8	53	65
23	-0.711946	-0.726032	0.070426	4.141572	1.776516	0.173301	0.072145	0.173718	7	68	79
24	-0.720555	-0.735387	0.074158	3.166833	1.848169	0.166761	0.073190	0.167452	10	47	63
25	-0.725139	-0.739999	0.074302	4.166833	1.774733	0.163312	0.073128	0.163190	9	51	64
26	-0.722238	-0.737076	0.074189	5.166831	1.706909	0.173934	0.073061	0.174316	7	45	57
27	-0.691308	-0.705221	0.069567	6.166831	1.644078	0.170802	0.070776	0.171317	7	53	64
28	-0.693193	-0.707590	0.071987	5.192091	1.705263	0.170545	0.072505	0.170714	8	46	57
29	-0.725485	-0.740209	0.073620	4.217352	1.771177	0.171144	0.072898	0.170798	9	73	86
30	-0.690164	-0.704712	0.072742	5.217350	1.703620	0.150749	0.073303	0.150764	33	114	152
31	-0.723399	-0.738496	0.075486	4.242611	1.769405	0.162367	0.073988	0.162218	58	51	112
32	-0.746561	-0.761795	0.076169	3.267873	1.840475	0.184525	0.074543	0.184540	12	68	84
33	-0.694206	-0.709355	0.075744	4.267873	1.767636	0.152741	0.075383	0.153303	8	54	66
34	-0.715122	-0.729259	0.070684	3.313980	1.836984	0.159853	0.071139	0.159635	8	53	65
35	-0.714068	-0.729665	0.077988	2.353504	1.912535	0.147043	0.078270	0.147598	8	54	66
36	-0.753870	-0.769525	0.078276	3.129381	1.851038	0.172551	0.076766	0.172545	7	45	56
37	-0.725086	-0.740795	0.078541	2.154642	1.928961	0.185676	0.076966	0.185163	10	45	60
38	-0.696534	-0.711741	0.076035	1.179902	2.013733	0.151284	0.075383	0.151519	8	47	59
39	-0.705458	-0.721388	0.079651	2.179902	1.926859	0.155732	0.078287	0.155888	10	70	85
40	-0.728622	-0.744833	0.081054	3.179854	1.847174	0.157649	0.077914	0.158078	34	121	159
41	-0.714835	-0.730257	0.077113	4.179854	1.773815	0.144580	0.076982	0.145297	28	84	118
42	-0.741998	-0.758028	0.080151	3.205162	1.845243	0.190575	0.076856	0.190313	7	44	55
43	-0.706572	-0.722202	0.078150	2.230422	1.922669	0.155569	0.076048	0.155370	8	54	67
44	-0.725056	-0.740659	0.078019	3.230422	1.843319	0.175040	0.076791	0.174804	7	48	58
45	-0.754290	-0.770403	0.080563	2.255683	1.920580	0.157926	0.078665	0.158197	8	46	58
46	-0.727598	-0.743929	0.081652	3.250937	1.841760	0.167407	0.077846	0.167918	8	52	63
47	-0.701631	-0.718329	0.083489	2.276208	1.918887	0.166557	0.082007	0.167068	8	44	57
48	-0.761706	-0.778735	0.085147	3.181908	1.847017	0.183742	0.079611	0.184043	7	52	64
49	-0.703068	-0.718723	0.078278	2.207169	1.924595	0.186914	0.076990	0.186723	8	45	57
50	-0.717587	-0.734809	0.086110	3.207169	1.845090	0.177613	0.081759	0.177410	8	52	65
51	-0.732972	-0.750359	0.086932	2.232466	1.922499	0.168753	0.082782	0.169325	9	43	56
52	-0.724704	-0.741154	0.082252	1.259225	2.006557	0.159999	0.078110	0.161219	8	51	62
53	-0.729931	-0.746972	0.085204	0.284502	2.098447	0.165189	0.079641	0.165267	8	47	59
54	-0.710263	-0.727146	0.084411	0.000000	2.126876	0.155024	0.079531	0.154729	11	48	63
55	-0.727122	-0.743872	0.083748	0.000000	2.126876	0.181479	0.080133	0.181267	9	118	131
56	-0.729623	-0.746877	0.086272	0.000000	2.126876	0.144629	0.080513	0.145416	33	98	136
57	-0.700185	-0.717371	0.085929	0.999995	2.030201	0.179477	0.081273	0.180040	27	51	82
58	-0.749892	-0.767468	0.087880	0.025256	2.124321	0.163811	0.082628	0.164246	8	54	66
59	-0.717665	-0.734717	0.085260	1.025256	2.027872	0.196940	0.080679	0.196656	9	91	104
60	-0.713026	-0.731218	0.090957	2.025256	1.939800	0.164419	0.084952	0.165227	10	169	206
61	-0.736522	-0.754602	0.090400	1.050516	2.025549	0.149502	0.082858	0.149604	34	158	196
62	-0.769326	-0.787201	0.089373	2.050516	1.937675	0.143195	0.082622	0.143841	15	116	153
63	-0.754893	-0.772210	0.086585	1.075777	2.023231	0.175821	0.080446	0.175956	13	127	167
64	-0.727764	-0.745839	0.090376	2.075777	1.935554	0.179113	0.084855	0.179671	58	173	235
65	-0.735322	-0.753867	0.092723	1.125614	2.018674	0.131802	0.084236	0.132103	31	177	234
66	-0.718774	-0.737070	0.091479	1.894128	1.950911	0.175143	0.084478	0.175214	30	145	179
67	-0.715134	-0.732708	0.087869	0.919388	2.037666	0.187976	0.081614	0.188411	42	162	234
68	-0.689159	-0.706771	0.088062	0.000000	2.126876	0.145577	0.081730	0.145783	32	86	123
69	-0.742691	-0.761241	0.092748	0.994207	2.030735	0.158342	0.086351	0.159415	33	149	186
70	-0.697244	-0.714895	0.088256	0.023949	2.124453	0.185743	0.082411	0.185733	59	171	234
71	-0.729136	-0.747427	0.091453	1.023936	2.027994	0.190233	0.082775	0.190293	32	141	196
72	-0.716220	-0.734798	0.092886	2.023904	1.939914	0.168143	0.084542	0.168560	35	111	150
73	-0.753533	-0.772049	0.092580	1.092888	2.021664	0.160284	0.084412	0.160155	38	134	196
74	-0.761502	-0.781727	0.101123	2.070673	1.935982	0.178234	0.089645	0.178476	25	61	91
75	-0.703910	-0.722915	0.095023	1.095963	2.021383	0.132861	0.085745	0.133186	8	53	65
76	-0.694442	-0.712437	0.089978	2.095963	1.933862	0.175118	0.082382	0.175524	8	46	58
77	-0.770276	-0.788018	0.088711	3.095852	1.853614	0.153151	0.081448	0.153481	7	57	68
78	-0.722906	-0.742057	0.095755	2.121116	1.931758	0.158839	0.084917	0.158436	8	43	55
79	-0.730162	-0.748514	0.091761	1.146376	2.016782	0.176488	0.083475	0.176377	16	44	66
80	-0.736507	-0.755195	0.093437	2.146376	1.929650	0.190740	0.083959	0.190790	8	51	63
81	-0.677208	-0.696465	0.096287	3.146376	1.849735	0.167053	0.086327	0.167850	9	46	60
82	-0.740678	-0.759049	0.091857	4.146376	1.776176	0.173471	0.082266	0.174084	7	56	67
83	-0.745147	-0.764021	0.094372	5.146359	1.708246	0.218340	0.085673	0.218403	8	52	64
84	-0.696593	-0.715598	0.095023	4.171619	1.774395	0.151630	0.085074	0.151662	7	55	66
85	-0.746425	-0.765892	0.097338	5.171597	1.706598	0.159971	0.089070	0.160119	7	54	65
86	-0.725842	-0.745818	0.099880	6.048524	1.651269	0.168968	0.087477	0.169798	8	115	127
87	-0.752765	-0.772076	0.096556	7.048524	1.592398	0.163987	0.086831	0.165167	33	120	156
88	-0.751854	-0.771363	0.097547	6.165139	1.644181	0.182797	0.088220	0.183304	12	55	71
89	-0.699455	-0.717690	0.091177	5.190399	1.705373	0.154129	0.083020	0.154327	8	46	58
90	-0.757019	-0.775569	0.092750	4.215748	1.771290	0.156482	0.083219	0.157308	8	51	63
91	-0.763505	-0.783046	0.097706	5.215747	1.703724	0.175447	0.089277	0.175315	7	45	55
92	-0.761703	-0.781623	0.099600	6.215747	1.641123	0.170767	0.088476	0.170942	12	45	61
93	-0.744950	-0.764916	0.099833	7.215747	1.582960	0.157346	0.088571	0.157905	7	51	61
94	-0.711669	-0.731424	0.098774	8.215747	1.528778	0.165218	0.088167	0.165609	10	45	59
95	-0.725889	-0.746057	0.100840	9.215747	1.478183	0.169662	0.087948	0.169987	8	53	65
