1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
608	-0.738013	-0.743304	0.026455	19.654502	0.350337	0.106053	0.010659	0.105729	6	42	49
609	-0.788192	-0.793569	0.026885	18.703001	0.358733	0.093327	0.010817	0.093295	10	46	57
610	-0.776364	-0.781863	0.027493	19.703001	0.349919	0.098714	0.011064	0.098424	6	43	50
611	-0.762963	-0.768298	0.026676	20.699592	0.341556	0.097991	0.010775	0.097756	6	43	49
612	-0.779824	-0.785212	0.026939	21.699112	0.333561	0.106798	0.010975	0.106615	8	42	51
613	-0.760236	-0.765517	0.026406	22.698666	0.325931	0.093801	0.010615	0.093635	7	42	49
614	-0.783451	-0.788825	0.026869	21.747184	0.333186	0.100571	0.010722	0.100602	6	50	57
615	-0.794136	-0.799531	0.026975	22.747184	0.325570	0.102191	0.010815	0.102294	6	41	48
616	-0.765735	-0.770936	0.026003	23.747184	0.318294	0.082078	0.010359	0.081999	8	47	56
617	-0.765645	-0.770823	0.025891	22.795685	0.325209	0.097834	0.010388	0.097664	6	42	49
618	-0.796904	-0.802256	0.026761	21.844185	0.332432	0.116063	0.010820	0.116145	6	47	55
619	-0.774965	-0.780505	0.027702	22.844185	0.324850	0.108543	0.011103	0.108196	7	41	48
620	-0.787573	-0.793016	0.027213	23.844185	0.317606	0.125777	0.010915	0.125846	6	51	59
621	-0.752892	-0.757923	0.025156	24.844185	0.310678	0.096634	0.010017	0.096450	7	42	50
622	-0.781187	-0.786454	0.026337	24.499503	0.313031	0.100534	0.010650	0.100383	6	50	57
623	-0.778464	-0.783664	0.026002	23.550066	0.319702	0.097887	0.010369	0.097852	6	42	49
624	-0.747166	-0.752559	0.026965	22.598566	0.326680	0.082759	0.010801	0.082389	6	51	57
625	-0.775643	-0.781065	0.027112	23.598397	0.319356	0.098905	0.010902	0.098821	7	41	49
626	-0.774331	-0.779714	0.026917	22.646897	0.326318	0.098335	0.010767	0.097970	6	48	55
627	-0.750815	-0.756153	0.026687	23.359995	0.321072	0.093603	0.010696	0.093600	7	41	49
628	-0.774572	-0.779929	0.026786	22.508578	0.327355	0.086344	0.010806	0.086356	6	46	54
629	-0.767448	-0.772701	0.026269	21.557077	0.334674	0.107233	0.010577	0.107169	8	43	51
630	-0.787536	-0.792875	0.026695	20.605645	0.342328	0.095794	0.010695	0.095742	6	47	54
631	-0.762902	-0.768144	0.026207	19.654144	0.350340	0.109493	0.010491	0.109258	6	42	48
632	-0.745552	-0.750782	0.026151	20.642909	0.342021	0.114889	0.010480	0.114849	6	48	55
633	-0.783072	-0.788460	0.026939	19.691409	0.350019	0.105712	0.010833	0.105690	6	43	50
634	-0.759877	-0.765052	0.025870	18.751117	0.358298	0.105400	0.010321	0.105325	6	42	50
635	-0.824282	-0.829905	0.028117	19.723194	0.349746	0.100754	0.011240	0.100417	10	42	52
636	-0.789414	-0.794703	0.026443	20.723194	0.341363	0.105244	0.010616	0.105226	6	42	49
637	-0.777432	-0.782789	0.026782	21.723194	0.333373	0.106070	0.010712	0.106027	8	45	54
638	-0.761790	-0.767108	0.026592	20.771730	0.340967	0.113994	0.010540	0.114173	6	41	49
639	-0.752857	-0.758043	0.025930	19.820230	0.348914	0.109508	0.010284	0.109466	7	50	57
640	-0.782235	-0.787770	0.027674	20.820177	0.340572	0.100938	0.011141	0.100634	7	42	49
641	-0.779866	-0.785330	0.027322	19.868676	0.348501	0.102927	0.010862	0.102690	7	52	60
642	-0.757115	-0.762467	0.026759	20.868675	0.340177	0.098509	0.010706	0.098574	7	41	48
643	-0.749748	-0.755067	0.026594	19.917175	0.348088	0.109682	0.010671	0.109472	6	50	57
644	-0.761760	-0.767022	0.026311	18.965675	0.356375	0.105981	0.010445	0.105790	6	41	48
645	-0.749430	-0.754809	0.026892	19.965675	0.347676	0.106075	0.010690	0.105867	6	49	56
646	-0.796891	-0.802368	0.027385	19.014558	0.355940	0.096114	0.010894	0.096130	7	42	49
647	-0.771156	-0.776425	0.026346	18.271979	0.362670	0.109566	0.010409	0.109292	6	51	58
648	-0.751702	-0.757090	0.026940	19.264922	0.353726	0.094194	0.010897	0.093946	7	41	48
