1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.706349	-0.712460	0.030556	0.000000	0.612958	0.175820	0.014993	0.175763	6	43	16027
1	-0.697093	-0.703476	0.031917	0.000000	0.612958	0.165392	0.015090	0.165298	7	52	60
2	-0.725478	-0.731756	0.031390	0.000000	0.612958	0.141703	0.014836	0.141535	7	43	52
3	-0.700397	-0.706615	0.031090	1.000000	0.585096	0.159873	0.015009	0.159913	7	51	59
4	-0.706839	-0.712838	0.029995	0.021284	0.612337	0.169147	0.014784	0.169106	7	43	50
5	-0.703771	-0.709858	0.030438	0.681035	0.593704	0.138977	0.014506	0.138900	7	49	57
6	-0.708810	-0.715179	0.031848	0.000000	0.612958	0.213811	0.015277	0.213703	7	43	51
7	-0.734638	-0.740914	0.031382	0.997660	0.585158	0.158357	0.014749	0.158344	7	49	57
8	-0.703615	-0.709983	0.031840	1.997660	0.559714	0.172657	0.014991	0.172764	8	44	53
9	-0.722494	-0.728646	0.030763	1.018949	0.584593	0.174626	0.014814	0.174589	6	51	58
10	-0.677373	-0.683723	0.031747	0.040233	0.611786	0.167152	0.015078	0.167253	6	46	53
11	-0.736135	-0.742382	0.031236	0.000000	0.612958	0.176823	0.015412	0.176771	7	50	59
12	-0.724915	-0.731430	0.032574	0.999905	0.585099	0.180209	0.016045	0.180068	8	44	52
13	-0.726102	-0.732494	0.031961	1.999905	0.559660	0.150733	0.015466	0.150593	6	52	59
14	-0.736045	-0.742590	0.032723	1.021189	0.584533	0.168332	0.015816	0.168121	6	87	95
15	-0.710138	-0.716317	0.030895	0.044941	0.611649	0.157459	0.014577	0.157317	8	70	78
16	-0.697202	-0.703372	0.030848	1.044929	0.583904	0.151503	0.014690	0.151329	28	55	85
17	-0.686910	-0.693218	0.031541	0.066213	0.611031	0.157289	0.015079	0.157293	7	46	54
18	-0.706321	-0.712611	0.031450	0.000000	0.612958	0.162786	0.015141	0.162854	9	49	59
19	-0.678843	-0.685202	0.031793	1.000000	0.585096	0.163712	0.015090	0.163618	6	50	57
20	-0.730645	-0.737121	0.032381	0.021285	0.612337	0.169886	0.015406	0.169984	8	64	72
21	-0.692258	-0.698531	0.031369	0.000000	0.612958	0.155544	0.014945	0.155338	9	58	68
22	-0.708585	-0.714998	0.032065	0.999977	0.585097	0.166464	0.015709	0.166396	9	149	161
23	-0.726290	-0.732974	0.033419	0.086847	0.610433	0.142369	0.015919	0.142233	30	144	176
24	-0.670319	-0.676662	0.031711	0.000000	0.612958	0.154791	0.015174	0.154676	10	169	180
25	-0.740522	-0.747379	0.034282	0.997391	0.585166	0.168729	0.016384	0.168551	33	152	186
26	-0.698942	-0.705761	0.034094	0.022401	0.612305	0.184064	0.016121	0.183849	78	143	223
27	-0.714360	-0.721033	0.033366	0.000000	0.612958	0.152367	0.015998	0.152422	29	121	151
28	-0.692064	-0.698479	0.032074	0.000000	0.612958	0.151800	0.015333	0.151743	8	162	172
29	-0.697956	-0.704620	0.033317	1.000000	0.585096	0.169523	0.016181	0.169480	28	101	130
30	-0.720689	-0.727253	0.032821	0.021989	0.612317	0.163515	0.015421	0.163651	10	151	162
31	-0.693582	-0.700030	0.032243	0.000000	0.612958	0.164627	0.015416	0.164580	32	175	208
32	-0.728909	-0.735640	0.033655	1.000000	0.585096	0.148038	0.015996	0.147742	14	145	160
33	-0.721420	-0.728034	0.033072	0.021285	0.612337	0.154657	0.015887	0.154649	31	111	143
34	-0.715592	-0.722090	0.032493	1.021285	0.584531	0.161762	0.015300	0.161636	17	72	90
35	-0.719029	-0.725589	0.032804	1.605025	0.569436	0.155396	0.015783	0.155340	7	43	51
36	-0.668832	-0.675248	0.032084	2.605025	0.545313	0.161433	0.015631	0.161487	7	48	56
37	-0.734730	-0.741389	0.033297	1.626310	0.568900	0.189704	0.015527	0.189720	7	43	51
38	-0.738841	-0.745430	0.032947	0.800440	0.590452	0.149406	0.015971	0.149276	6	49	56
39	-0.698871	-0.705699	0.034140	1.800440	0.564556	0.165195	0.016234	0.165096	8	43	53
40	-0.736857	-0.743519	0.033311	1.191725	0.580041	0.175773	0.016098	0.175931	7	52	59
41	-0.712894	-0.719597	0.033514	2.191725	0.555031	0.141584	0.016232	0.141417	7	43	52
42	-0.730454	-0.737264	0.034054	1.977306	0.560210	0.145206	0.016504	0.145104	7	48	56
43	-0.709983	-0.716935	0.034758	0.998591	0.585134	0.175520	0.016602	0.175434	8	68	78
44	-0.726439	-0.733133	0.033469	0.150702	0.608590	0.163603	0.015599	0.163575	9	120	131
45	-0.735097	-0.741832	0.033678	1.150702	0.581115	0.169889	0.016026	0.169885	10	172	183
46	-0.710431	-0.717102	0.033352	2.128721	0.556542	0.159238	0.015857	0.159242	36	161	198
47	-0.677258	-0.683802	0.032718	1.150005	0.581134	0.156026	0.015508	0.155828	28	127	158
48	-0.723741	-0.730828	0.035435	0.171303	0.607998	0.189871	0.017091	0.190005	32	111	145
